file,title,sentences,entities
10168378.xml,CRISPRi-based screens in iAssembloids to elucidate neuron-glia interactions,"We also apply the platform to investigate the role of APOE- ε4, a risk variant for Alzheimers Disease, in its effect on neuronal survival. | Here, we characterize these iAssembloids and combine them with large-scale CRISPRi-based screens to model how glial and neuronal cells can interact to modulate neuronal survival. | We also apply the platform to investigate the role of APOE- ε4, a major risk variant for Alzheimers Disease, in its effect on neuronal survival. | Our platform aims to expand our existing functional genomics toolbox to enable a simple, highly scalable method for screening genetic modifiers for neuronal survival in a glial context. | We found that neurons mainly expressed markers for excitatory neurons (SLC17A7, SLC17A6), and not for inhibitory neurons (GAD1, GAD2, SST, VIP) (Fig. | CRISPRi-based screens identify iAssembloid-specific factors in neuronal survival As neuronal death is a key hallmark of neurodegenerative disease, we wanted to probe which pathways can make neurons vulnerable and which can protect neurons from neuronal death. | While we previously conducted CRISPRi-based modifier screens for neuronal survival in 2D monocultured neurons6,7, the more physiological context of our iAssembloid model motivated us to conduct similar screens in iAssembloids. | To determine genes essential for neuronal survival, we induced neuronal differentiation, incorporated these cells into iAssembloids and compared sgRNA frequencies in the starting population (1 day in culture) and later timepoints (14 and 28 days in culture) to uncover genes controlling neuronal survival (Fig. | Essential genes for neuronal survival identified in monoculture, such as HMGCR, HMGCS1 and ATP6V1C1, were also found in our iAssembloid screens (Fig. | Focused validation screens assess effect of cell type and media composition on neuronal survival in iAssembloids We conducted a focused validation screen targeting the 68 curated genes from the primary screen. | As media composition is altered when microglia are seeded, we assessed whether changing media composition affected neuronal survival in the iAssembloids. | We next validated the differential effect of GSK3B knockdown on neuronal survival in different contexts. | Strikingly, neuronal survival in iAssembloids and in 3D neuronal culture is greatly improved after GSK3B knockdown (Fig. | We found that although GSK3B expression did not differ between culture systems, GSK3β activity (denoted by the loss of the inhibitory phosphorylation site at serine 9), was 34 times higher in 3D culture versus 2D neurons (Fig. | We also found that blocking neuronal activity and ferroptosis with ferrostatin improved neuronal survival in 3D neurons (Fig. | In GSK3β knockdown neurons, the ability for GSK3β to block NRF2 from protecting neurons from neuronal death is abrogated, enabling the protective NRF2-mediated oxidative stress response that improves neuronal survival (Fig. | However, how expression of these APOE variants in glial cells may affect neuronal survival is currently unknown. | In our screen, we found that knockdown of CACNB4 leads to a stronger deficit in neuronal survival in co-culture with APOE-ε4 astrocytes as compared to co-culture with APOE astrocyte (Fig. | We found that indeed, knockdown of CACNB4 had a stronger effect on neuronal survival in co-culture with APOE-ε4 expressing astrocytes as opposed to APOE-ε3 expressing astrocytes (Fig. | iAssembloids are fast to generate and homogeneous, which is ideal for CRISPR-based screens and other systems requiring high throughput screening (e.g., compound screening). | iAssembloids allow precise control of glial cell genetic backgrounds, allowing causal assessment of those genetic backgrounds on neuronal survival. | We demonstrate this application to examine the effect of glia-expressed APOE-ε4, a variant of the gene APOE known to increase risk of late-onset Alzheimers Disease52,53, on neuronal survival. | Our model shows that neurons in iAssembloids are more electrophysiologically active than in monoculture, thus allowing us to assess the pathways that are affected by neuronal activity in neuronal survival. | Beyond these studies, this model could provide an additional platform to assess the effectiveness of small molecules on neuronal phenotypes relating to neuronal activity. | No. 17502048), 10uM ROCK inhibitor (Y-27632, BiotechneTocris, Cat. | To facilitate neural induction, dual SMAD inhibitors DMH1 (Tocris, Cat. | No. A1516901), 10 μM ROCK inhibitor, and 2 μgml Doxycycline on Matrigel and 10 cm Poly-D-Lysine coated plates at a density of 1.5 million cells per dish. | No. S25011G), 1X protease inhibitor (MilliporeSigma, Cat.","##ISPR (MISC), ##IS (MISC), G (MISC), N (MISC), AP (MISC), Alzheimers Disease (MISC), AP (MISC), AP (MISC)"
10980080.xml,Functional associations of evolutionarily recent human genes exhibit sensitivity to the 3D genome landscape and disease,"","##G (ORG), ##eno (MISC)"
11287547.xml,Diabetic retinopathy: A review on its pathophysiology and novel treatment modalities,"The main PKC activator in physiology, diacylglycerol (DAG), is synthesized de novo because of increased glucose metabolism through the glycolysis pathway brought on by hyperglycemia. | Broadening the focus beyond just vascular leakage and neovascularization to include neuroprotection and intraretinal revascularization would set ambitious goals for DR treatment.","Di (MISC), DM (MISC), Di (MISC), DR (MISC), N (MISC), PD (MISC)"
11430220.xml,
Intranasal Delivery of Lithium Salt Suppresses Inflammatory Pyroptosis in the brain and Ameliorates Memory Loss and Depression-like Behavior in 5XFAD mice
,"This lithium mediated neuroprotection was associated with its potent effects on the inhibition of InsP3R-1 Ca2 channel receptor increase, ameliorating pathological inflammation and activation of the pyroptosis pathway, and the associated loss of synapse proteins. | Intranasal LiCl in RFV could become an effective and potent inhibitor of pathological inflammationpyroptosis in the CNS and treat both dementia and depression with no or minimal side effectsorgan toxicity, particular in AD.","##C (MISC), Ryanodex Formula (MISC), Vehicle (MISC), RF (MISC), ##C (MISC), ##D Alzheimers Disease (MISC), AD (MISC), LiC (MISC), ##C (MISC), ##C (MISC), ##C (MISC), ##C (MISC), ##C (MISC), In (MISC), ##C (MISC), C (LOC), ##NS (MISC), AD (MISC)"
11496846.xml,Puerarin alleviates osteoporosis in rats by targeting the JAK2/STAT3 signaling pathway,"The protein expression levels of the Janus kinase 2signal transducer and activator of transcription 3 (JAK2STAT3) signaling pathway in bone tissue were evaluated using Western blotting assay. | Janus kinase 2 (JAK2)signal transducer and activator of transcription 3 (STAT3) signaling is crucial in disease progression , mainly playing a key role in the occurrence and development of OP . | JAK2STAT3: Janus kinase 2signal transducer and activator of transcription 3; SD: Standard deviation; Pue-L: Low-dose puerarin group; Pue-H: High-dose puerarin group; PMOP: Postmenopausal osteoporosis. | Pue: Puerarin; JAK2STAT3: Janus kinase 2signal transducer and activator of transcription 3. | Plant estrogens are biologically active plant compounds, with estrogens, isoflavones, flavonoids, coumarins, and lignans being the main categories of plant estrogens . | Studies have confirmed that Pue, a natural compound, can enhance bone formation by osteoblasts and reduce bone resorption by osteoclasts in rats . | Pue is a member of the phytoestrogen compound class, which has a similar structure to estrogen conformation and can bind to estrogen receptors, potentially reducing bone formation markers. | Inhibition of this pathway using the STAT3 inhibitor, Stattic, has demonstrated the ability to suppress osteoclastogenesis in vitro and prevent bone loss in vivo .","O (MISC), O (MISC), P (MISC), O (MISC), P (MISC), O (MISC), PM (MISC), SpragueD (MISC), ##aw (ORG), ##ley (MISC), SD (ORG), PM (MISC), P (MISC), BS (MISC), ##C (ORG), E (MISC), Janus (MISC), J (MISC), Western (MISC), P (MISC)"
11496853.xml,Brain regions differences in amyloid-β and gene expression in early APP/PS1 mice and identification of Npas4 as a key molecule in Alzheimer’s disease,"Homogenization of mouse brain tissue was performed using RIPA Lysis Buffer (Beyotime Biotech), supplemented with PMSF (Selleck) and a protease inhibitor cocktail (GlpBio). | It has been reported that Npas4 may affect the function of excitatory and inhibitory neurons and memory formation . | For example, the functional role of Npas4 in neuronal health and AD pathology will be investigated in animal models through gene manipulation (such as knockdown or overexpression studies) to explore the effects of Npas4 regulation on cognitive function and synaptic integrity in APPPS1 mice, develop small molecule or gene manipulation to modulate Npas4 and test its efficacy in preclinical AD models, and to explore the combination therapy of Aβ deposition and Npas4 pathway to improve the therapeutic effect. | Considering Npas4s role in regulating synaptic function and neuroprotection, it holds great promise as a therapeutic target.","Alzheimers (MISC), AD (MISC), AD (MISC), A (MISC), Amyloid Pre (MISC), ProteinPresenilin - 1 (MISC), APPPS1 (MISC), A (MISC), AP (MISC), ##S1 (MISC), A (MISC), AP (MISC), ##S1 (MISC), N (MISC), A (MISC), A (MISC), AD (MISC), N (MISC), N (MISC), AD (MISC), Alzheimers (MISC), AD (MISC), A (MISC), N (MISC), AD (MISC), AD (MISC)"
11551703.xml,Facing stress and inflammation: From the cell to the planet,"In a recent investigation in a murine model of severe influenza A virus infection, it was elegantly demonstrated that preventing alveolar epithelial cell death by an inhibitor of receptor interacting protein kinase 3 prevented the lung injury and protected the animal from death. | With the use of specific inhibitors and antagonists, the authors identified substance P as the neuro mediator responsible for the effects in this model. | The authors showed that it was consecutive of the inhibitory effects of glucocorticoids on the expression of cutaneous antimicrobial peptides. | Such association has been particularly reported for genes coding for galanin receptor 2, brain-derived neurotrophic factor, purinergic receptor P2X7, and 5-hydroxytryptamine (serotonin) receptor 1A. | There are numerous cytokines that display anti-inflammatory properties (Figure 4) while the two conductors of the orchestra (namely IL-1 and TNF) have their own specific inhibitors. | Within the cell, many negative signaling molecules (e.g., myeloid differentiation factor 88, IL-1 receptor associated kinase, suppressor of cytokine-1, tumor necrosis factor alpha-induced protein 3), miRNA, NF-κB inhibitors and epigenetic modification participate in the negative regulation. | They have direct inhibitory properties in the inflammatory process.","Hans Selye (PER), Latin (MISC)"
11551707.xml,Melanocortin 4 receptor mutation in obesity,"MC4R in metabolism and energy regulation MC4R, through its regulatory role in body weight homeostasis may influence the course of metabolic syndrome and multiple sclerosis via its anti-inflammatory and neuroprotective effects. | Hypothalamic melanocortinergic neurons exert a tonic inhibitory action on feeding. | Body weight and growth Aggregated data from 200 MC4R genetic mutations among nearly 1000 patients, (homozygous or compound heterozygous) showed early-onset severe obesity. | MC4R could also have anti-inflammatory and neuroprotective effects.","4 (MISC), MC (MISC), MC4 (MISC), MC4 (MISC), MC4 (MISC), Setmelanotide (MISC), MC4R (MISC), MC (MISC), MC (MISC), MC (MISC), Melano (MISC), ##tin (MISC), 4 (MISC), MC (MISC), MC4 (MISC)"
